"Site","Year","bc","TAug","Jan.airT.lead","PDSIsa.lead","Landings"
1,1976,0.014066,19.0399995744228,-6.44444444444445,0.238333333333333,0
1,1977,0.000255,18.5799995847046,-3,0.71,0
1,1978,0.000752,19.809999557212,-0.944444444444444,0.6525,0
1,1979,0.095546,18.4999995864928,-1.72222222222222,-0.971666666666667,0
1,1980,0.126163,19.2399995699525,-7.16666666666667,-2.5225,0
1,1981,0.011571,18.5599995851517,-6.05555555555555,0.3725,0
1,1982,0.055433,18.6108061455147,-1.16666666666667,2.3275,0
1,1983,0.083511,19.1103222511535,-3.27777777777778,2.57583333333333,0
1,1984,0.01476,20.0343545503409,-4.94444444444444,-1.035,0
1,1985,0.083145,19.1383868019993,-0.722222222222223,0.474166666666667,0
1,1986,0.091719,19.0740319485017,-2.16666666666667,1.24416666666667,0
1,1987,0.032638,18.9896770798809,-3.5,-0.503333333333333,0
1,1988,0.001563,19.3238706037571,0.222222222222221,-0.0566666666666667,0
1,1989,0.021768,19.1683868343691,1.72222222222222,0.946666666666667,0
1,1990,0.029996,20.3016125962692,-1.66666666666667,-0.5825,0
1,1991,0.047288,19.1148384124439,-1.55555555555556,0.1075,0
1,1992,0.028692,18.1262900052707,-0.722222222222223,0.759166666666667,0
1,1993,0.001438,18.6208061786668,-5.38888888888889,-0.343333333333333,0
1,1994,0.004833,18.9109674601604,1.61111111111111,-1.2175,0
1,1995,0.015396,19.1020963461396,-1.94444444444444,0.785833333333333,0
1,1996,0.007441,18.1287093279632,-1.61111111111111,2.24333333333333,0
1,1997,0.000371,18.5732255050472,1.5,1.13916666666667,0
1,1998,0.014648,19.3575803019993,-0.833333333333333,-0.708333333333333,0
1,1999,0.038487,19.7808061149687,-2.55555555555556,0.408333333333333,0
1,2000,0.035759,19.161128672073,-1.88888888888889,0.765833333333333,0
1,2001,0.010399,19.5654835720578,1.88888888888889,-1.85916666666667,0
1,2002,0.033799,20.0172577757003,-4.61111111111111,1.75583333333333,0
1,2003,0.003122,19.512902869904,-6.38888888888889,0.688333333333333,0
1,2004,0.007741,18.6803222214659,-2.77777777777778,0.921666666666667,0
1,2005,0.012177,20.157257774918,2.55555555555556,1.68666666666667,0
1,2006,0.037876,19.9848383733685,0.555555555555556,1.69083333333333,0
1,2007,0.035617,19.1953222820705,-0.0555555555555563,0.279166666666667,0
1,2008,0.004015,19.8085480736224,-4.33333333333333,2.51083333333333,0
1,2009,0.009055,21.1829029299498,-1.83333333333333,3.99333333333333,0
1,2010,0.063632,20.4137093235286,-3.11111111111111,1.40583333333333,0
1,2011,0.030358,20.3695157973055,1.33333333333333,0.103333333333333,0
1,2012,0.068127,21.7438706020047,-0.499999999999999,0.671666666666667,0
1,2013,0.032641,20.6187093248697,-2.72222222222222,-0.2425,0
1,2014,0.011431,20.4167738433456,-3.11111111111111,0.21,0
1,2015,0.00631,21.5033867351721,-0.111111111111111,-1.55,0
2,1959,0.106564365,21.3699995223433,-2.33333333333333,0.190833333333333,0
2,1960,0.26,20.6099995393306,-5.61111111111111,-0.02,0
2,1961,0.136923077,21.1299995277077,-2.77777777777778,0.0725,0
2,1962,0.088998211,20.0899995509535,-2.88888888888889,-0.383333333333333,0
2,1963,0.133814103,20.5199995413423,-1.55555555555556,-0.76,0
2,1964,0.029607843,19.3699995670468,-4.5,-2.97666666666667,0
2,1965,0.005,20.119999550283,-2.83333333333333,-4.25583333333333,0
2,1966,0.010204082,19.4699995648116,0.277777777777778,-0.759166666666667,0
2,1967,0.005,20.2699995469302,-4.66666666666667,-0.0166666666666667,0
2,1968,0.005,20.4299995433539,-2.72222222222222,-1.37083333333333,0
2,1969,0.005,20.5799995400012,-6.83333333333333,0.209166666666667,0
2,1970,0.052083334,21.1799995265901,-5.44444444444444,-0.606666666666667,0
2,1971,0.131442081,20.2199995480478,-1.22222222222222,0.645,0
2,1972,0.542933811,20.1299995500594,-1.11111111111111,3.57333333333333,0
2,1973,0.303409091,21.259999524802,-1.22222222222222,0.753333333333333,0
2,1974,0.092264914,21.1099995281547,0.277777777777778,0.321666666666667,0
2,1975,0.010638298,20.8399995341897,-4.72222222222222,0.504166666666667,0
2,1976,0.072827418,20.679999537766,-6.94444444444444,-0.05,0
2,1977,0.121279762,20.2499995473772,-4,0.563333333333333,0
2,1978,0.091183575,21.5199995189905,-1.38888888888889,1.36333333333333,0
2,1979,0.264254386,20.1899995487183,-1.88888888888889,0.00333333333333332,0
2,1980,0.415882353,21.0599995292723,-7.22222222222222,-2.24333333333333,0
2,1981,0.238095238,20.2899995464832,-6.44444444444445,0.075,0
2,1982,0.239837398,19.9043545136124,-1.72222222222222,1.39166666666667,0
2,1983,0.321428572,20.9951608598457,-3.83333333333333,2.665,0
2,1984,0.19250646,20.9222577419134,-5.33333333333333,-1.09666666666667,0
2,1985,0.173076923,20.7795157987941,-1.27777777777778,0.358333333333333,0
2,1986,0.21875,20.246612574217,-2.61111111111111,0.680833333333333,0
2,1987,0.607843138,20.1469351251746,-3.94444444444445,-1.01,0
2,1988,0.411764706,20.7530642145727,0,0.151666666666667,0
2,1989,0.211538462,20.4382254930131,1.72222222222222,2.98083333333333,0
2,1990,0.06125,21.6106447708187,-2.11111111111111,-0.1525,0
2,1991,0.237011381,20.5004835386062,-1.44444444444445,-0.0325,0
2,1992,0.325686275,19.5204835517937,-1.11111111111111,0.901666666666667,0
2,1993,0.240384616,20.2324189982657,-5.94444444444444,-0.615,0
2,1994,0.117647059,20.3514512501835,1.16666666666667,-1.57416666666667,0
